Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
1997,76,BRA,5282.008828,5282.008828,5282.008828,166993001,166993001,166993001,7.016717639,7.016717639,7.016717639
1997,77,BRA,5282.008828,5282.008828,5282.008828,166993001,166993001,166993001,7.016717639,7.016717639,7.016717639
1997,969,BRA,5282.008828,5282.008828,5282.008828,166993001,166993001,166993001,7.016717639,7.016717639,7.016717639
1997,970,BRA,5282.008828,5282.008828,5282.008828,166993001,166993001,166993001,7.016717639,7.016717639,7.016717639
1998,76,BRA,5087.152221,5087.152221,5087.152221,169470454,169470454,169470454,6.945908587,6.945908587,6.945908587
1998,77,BRA,5087.152221,5087.152221,5087.152221,169470454,169470454,169470454,6.945908587,6.945908587,6.945908587
1998,969,BRA,5087.152221,5087.152221,5087.152221,169470454,169470454,169470454,6.945908587,6.945908587,6.945908587
1998,970,BRA,5087.152221,5087.152221,5087.152221,169470454,169470454,169470454,6.945908587,6.945908587,6.945908587
1999,76,BRA,3478.37273,3478.37273,3478.37273,171947907,171947907,171947907,6.268725027,6.268725027,6.268725027
1999,77,BRA,3478.37273,3478.37273,3478.37273,171947907,171947907,171947907,6.268725027,6.268725027,6.268725027
1999,969,BRA,3478.37273,3478.37273,3478.37273,171947907,171947907,171947907,6.268725027,6.268725027,6.268725027
1999,970,BRA,3478.37273,3478.37273,3478.37273,171947907,171947907,171947907,6.268725027,6.268725027,6.268725027
2000,76,BRA,3749.75325,3749.75325,3749.75325,174425360,174425360,174425360,6.397099445,6.397099445,6.397099445
2000,77,BRA,3749.75325,3749.75325,3749.75325,174425360,174425360,174425360,6.397099445,6.397099445,6.397099445
2000,969,BRA,3749.75325,3749.75325,3749.75325,174425360,174425360,174425360,6.397099445,6.397099445,6.397099445
2000,970,BRA,3749.75325,3749.75325,3749.75325,174425360,174425360,174425360,6.397099445,6.397099445,6.397099445
2001,76,BRA,3396.041985,3396.041985,3396.041985,176478220,176478220,176478220,6.228336666,6.228336666,6.228336666
